OrderDetailsID,OrderID,ProductName,Quantity,PricePerUnit
1,2785,Juice,4,125
2,722,Shampoo,2,26
3,2583,Milk,3,100
4,3307,Snacks,3,120
5,1155,Soap,2,74
6,3742,Rice,4,26
7,1709,Eggs,1,53
8,3072,Soap,2,145
9,17,Milk,2,48
10,2930,Soap,1,45
11,3002,Snacks,4,93
12,2874,Butter,1,64
13,992,Snacks,2,36
14,878,Rice,2,82
15,2233,Snacks,3,112
16,3463,Rice,1,85
17,1447,Milk,3,111
18,3918,Eggs,3,136
19,1466,Snacks,3,61
20,3768,Juice,3,90
21,1679,Shampoo,1,94
22,3628,Snacks,1,90
23,3084,Eggs,1,62
24,1544,Milk,2,74
25,80,Juice,4,75
26,2857,Rice,3,98
27,3746,Juice,2,102
28,2350,Snacks,1,140
29,3288,Milk,1,91
30,1272,Rice,2,20
31,1565,Bread,3,149
32,1296,Fruits,1,112
33,2181,Soap,3,61
34,1029,Butter,3,93
35,2804,Eggs,4,28
36,1566,Eggs,1,133
37,2677,Eggs,2,50
38,1714,Bread,4,115
39,1010,Milk,3,21
40,773,Juice,2,43
41,3819,Rice,4,62
42,2189,Juice,4,70
43,483,Juice,4,94
44,3377,Butter,3,118
45,2393,Eggs,3,20
46,1586,Eggs,1,143
47,3342,Bread,4,136
48,3180,Juice,2,106
49,1582,Butter,3,148
50,2522,Fruits,4,137
51,1106,Bread,2,82
52,3710,Bread,3,95
53,1108,Soap,2,114
54,3362,Fruits,2,54
55,3143,Eggs,1,111
56,175,Juice,3,104
57,1852,Eggs,3,75
58,842,Bread,3,26
59,3535,Eggs,3,70
60,1873,Milk,1,58
61,3467,Snacks,1,61
62,2914,Fruits,4,91
63,3163,Juice,3,72
64,2517,Fruits,2,110
65,1887,Soap,1,49
66,3506,Eggs,2,142
67,3321,Eggs,2,148
68,2692,Juice,2,43
69,2729,Juice,4,144
70,955,Milk,4,25
71,1596,Butter,3,146
72,3953,Shampoo,1,136
73,2897,Soap,3,54
74,2289,Eggs,4,147
75,2750,Juice,4,98
76,3568,Juice,2,54
77,340,Snacks,3,67
78,2841,Soap,2,133
79,744,Shampoo,4,124
80,1495,Snacks,3,91
81,2511,Bread,3,62
82,2849,Soap,1,54
83,3347,Soap,4,50
84,1849,Bread,4,125
85,15,Fruits,1,120
86,3113,Rice,4,27
87,1989,Milk,2,25
88,208,Snacks,2,106
89,1084,Rice,2,99
90,2413,Bread,3,63
91,3312,Juice,2,83
92,2656,Snacks,4,51
93,3862,Rice,1,72
94,2208,Shampoo,2,132
95,397,Milk,2,82
96,1958,Shampoo,3,133
97,794,Juice,4,96
98,2548,Fruits,1,41
99,209,Soap,4,146
100,1157,Bread,2,50
101,3453,Snacks,4,43
102,433,Butter,1,22
103,2657,Shampoo,2,52
104,1755,Fruits,4,70
105,2437,Snacks,1,49
106,3045,Fruits,2,44
107,583,Soap,2,47
108,432,Fruits,4,116
109,1298,Snacks,3,106
110,351,Soap,3,45
111,134,Milk,1,139
112,3138,Rice,4,120
113,639,Butter,1,116
114,1229,Fruits,4,34
115,3370,Milk,1,68
116,117,Butter,1,130
117,1291,Fruits,4,27
118,1818,Snacks,3,104
119,2197,Fruits,1,147
120,3266,Butter,4,33
121,1704,Snacks,4,110
122,1848,Rice,4,23
123,3958,Bread,2,95
124,2227,Fruits,4,47
125,2196,Juice,4,118
126,465,Bread,2,86
127,976,Shampoo,2,136
128,2617,Snacks,3,36
129,2026,Eggs,4,126
130,1029,Snacks,1,100
131,526,Fruits,2,30
132,2328,Snacks,2,120
133,2547,Butter,3,126
134,836,Rice,3,139
135,2484,Soap,3,125
136,2864,Soap,4,137
137,1240,Snacks,4,95
138,2735,Snacks,4,24
139,2876,Rice,2,45
140,3017,Soap,3,96
141,1539,Milk,2,86
142,1911,Fruits,1,51
143,3209,Bread,4,138
144,2660,Milk,2,121
145,2643,Rice,1,128
146,1304,Snacks,2,98
147,132,Fruits,1,85
148,393,Juice,2,99
149,481,Juice,2,29
150,3585,Shampoo,4,96
151,2676,Shampoo,2,79
152,2035,Fruits,2,27
153,2467,Eggs,3,67
154,1226,Snacks,2,100
155,2700,Butter,4,60
156,2706,Juice,2,142
157,462,Snacks,4,27
158,1802,Snacks,3,112
159,3274,Rice,4,110
160,3986,Soap,3,83
161,152,Milk,3,146
162,3969,Juice,3,107
163,2270,Shampoo,3,64
164,79,Snacks,3,45
165,1224,Bread,4,34
166,1786,Milk,3,77
167,2147,Soap,3,98
168,2025,Shampoo,3,44
169,2960,Rice,3,87
170,2261,Juice,3,55
171,3215,Fruits,1,136
172,2750,Bread,2,99
173,3461,Juice,2,78
174,1837,Butter,3,59
175,1398,Soap,3,136
176,1076,Soap,1,100
177,3015,Juice,3,90
178,1648,Soap,1,120
179,2183,Fruits,2,89
180,411,Rice,4,44
181,2009,Fruits,2,108
182,1494,Butter,4,82
183,1136,Rice,4,49
184,1549,Eggs,4,112
185,785,Shampoo,3,97
186,3817,Juice,1,104
187,1068,Rice,4,90
188,1421,Rice,1,90
189,2010,Butter,2,148
190,1609,Fruits,4,53
191,2309,Butter,2,106
192,743,Fruits,1,37
193,2593,Rice,1,62
194,2436,Soap,2,95
195,3548,Soap,1,97
196,3482,Fruits,2,60
197,3652,Milk,1,125
198,2064,Milk,3,128
199,2021,Eggs,2,43
200,662,Bread,4,43
201,1828,Milk,4,22
202,2150,Milk,4,92
203,3258,Fruits,1,43
204,951,Snacks,2,138
205,2979,Soap,1,59
206,25,Eggs,4,90
207,3144,Milk,3,128
208,1617,Juice,4,122
209,3645,Soap,4,52
210,18,Butter,4,81
211,3826,Bread,3,104
212,570,Shampoo,3,80
213,1017,Shampoo,2,112
214,1356,Eggs,3,46
215,3961,Snacks,2,145
216,1593,Milk,3,79
217,3169,Soap,2,66
218,3799,Soap,4,131
219,831,Eggs,3,106
220,1036,Juice,1,128
221,3083,Butter,1,92
222,1933,Snacks,2,141
223,2211,Snacks,3,116
224,1307,Soap,3,87
225,1753,Juice,1,82
226,872,Juice,3,101
227,835,Soap,3,49
228,3313,Juice,2,44
229,857,Milk,4,140
230,3117,Eggs,1,116
231,970,Bread,4,118
232,593,Rice,3,125
233,255,Juice,3,75
234,2115,Soap,2,149
235,2966,Shampoo,4,72
236,2662,Shampoo,4,145
237,3022,Milk,2,60
238,603,Milk,4,42
239,1066,Milk,2,50
240,1812,Milk,2,21
241,1840,Shampoo,3,79
242,1810,Milk,3,97
243,2432,Snacks,3,42
244,3661,Fruits,2,54
245,1258,Shampoo,3,20
246,966,Shampoo,1,124
247,1738,Butter,1,68
248,485,Shampoo,3,81
249,3805,Fruits,2,34
250,3846,Juice,1,40
251,39,Shampoo,3,124
252,11,Snacks,1,53
253,624,Shampoo,1,140
254,409,Juice,1,115
255,2156,Butter,4,29
256,2028,Rice,1,109
257,1118,Eggs,3,77
258,3895,Juice,1,128
259,2132,Shampoo,3,118
260,2106,Eggs,1,128
261,3365,Milk,1,108
262,3088,Bread,4,31
263,3039,Rice,1,137
264,3549,Juice,3,107
265,2886,Eggs,4,107
266,605,Fruits,4,149
267,969,Soap,1,92
268,165,Fruits,1,102
269,437,Rice,2,24
270,2775,Shampoo,1,66
271,1680,Fruits,2,43
272,1810,Juice,3,140
273,2451,Butter,1,114
274,1410,Bread,1,70
275,1978,Fruits,2,101
276,1162,Bread,2,91
277,2764,Juice,4,70
278,814,Milk,4,71
279,2770,Eggs,1,31
280,2579,Rice,3,100
281,1830,Juice,4,114
282,293,Snacks,4,134
283,1499,Soap,4,148
284,3071,Snacks,2,30
285,3952,Snacks,1,35
286,462,Bread,2,120
287,3885,Fruits,3,132
288,3445,Juice,2,111
289,3234,Shampoo,1,28
290,2690,Rice,2,138
291,2092,Butter,3,142
292,3937,Snacks,1,27
293,1107,Soap,1,44
294,2940,Fruits,1,138
295,2684,Eggs,1,42
296,2587,Juice,3,63
