OrderID,CustomerID,OrderDateTime,DeliveryDateTime,TotalAmount,DeliveryStatus
1,62,2024-01-01 00:00:00,2024-01-01 02:37:00,539,Delivered
2,84,2024-01-01 01:00:00,2024-01-01 03:21:00,448,Delivered
3,217,2024-01-01 02:00:00,2024-01-01 03:37:00,994,Delivered
4,187,2024-01-01 03:00:00,2024-01-01 05:53:00,511,Delivered
5,19,2024-01-01 04:00:00,2024-01-01 05:59:00,627,Delivered
6,177,2024-01-01 05:00:00,2024-01-01 06:00:00,409,Delivered
7,100,2024-01-01 06:00:00,2024-01-01 08:45:00,495,Delivered
8,233,2024-01-01 07:00:00,2024-01-01 08:14:00,887,Delivered
9,76,2024-01-01 08:00:00,2024-01-01 09:40:00,437,Delivered
10,265,2024-01-01 09:00:00,2024-01-01 11:24:00,773,Delivered
11,284,2024-01-01 10:00:00,2024-01-01 12:34:00,536,Delivered
12,206,2024-01-01 11:00:00,2024-01-01 11:59:00,803,Delivered
13,223,2024-01-01 12:00:00,2024-01-01 14:55:00,762,Delivered
14,52,2024-01-01 13:00:00,2024-01-01 15:26:00,464,Delivered
15,144,2024-01-01 14:00:00,2024-01-01 15:29:00,212,Delivered
16,69,2024-01-01 15:00:00,2024-01-01 17:35:00,884,Delivered
17,99,2024-01-01 16:00:00,2024-01-01 18:03:00,275,Delivered
18,25,2024-01-01 17:00:00,2024-01-01 19:31:00,248,Delivered
19,53,2024-01-01 18:00:00,2024-01-01 20:17:00,277,Delivered
20,151,2024-01-01 19:00:00,2024-01-01 19:35:00,481,Delivered
21,144,2024-01-01 20:00:00,2024-01-01 22:55:00,322,Delivered
22,57,2024-01-01 21:00:00,2024-01-01 23:31:00,358,Cancelled
23,39,2024-01-01 22:00:00,2024-01-01 22:35:00,884,Cancelled
24,109,2024-01-01 23:00:00,2024-01-02 01:32:00,288,Delivered
25,181,2024-01-02 00:00:00,2024-01-02 02:15:00,405,Delivered
26,42,2024-01-02 01:00:00,,477,Cancelled
27,186,2024-01-02 02:00:00,2024-01-02 04:41:00,701,Delivered
28,223,2024-01-02 03:00:00,2024-01-02 04:50:00,442,Delivered
29,122,2024-01-02 04:00:00,2024-01-02 06:42:00,873,Delivered
30,133,2024-01-02 05:00:00,2024-01-02 06:04:00,255,Delivered
31,163,2024-01-02 06:00:00,2024-01-02 08:59:00,811,Delivered
32,215,2024-01-02 07:00:00,2024-01-02 07:40:00,154,Delivered
33,221,2024-01-02 08:00:00,2024-01-02 08:32:00,865,Delivered
34,235,2024-01-02 09:00:00,2024-01-02 10:45:00,541,Cancelled
35,146,2024-01-02 10:00:00,2024-01-02 10:47:00,784,Delivered
36,239,2024-01-02 11:00:00,2024-01-02 12:42:00,299,Delivered
37,76,2024-01-02 12:00:00,2024-01-02 13:52:00,502,Cancelled
38,9,2024-01-02 13:00:00,2024-01-02 14:38:00,713,Cancelled
39,74,2024-01-02 14:00:00,2024-01-02 14:59:00,896,Delivered
40,253,2024-01-02 15:00:00,2024-01-02 17:21:00,762,Delivered
41,230,2024-01-02 16:00:00,2024-01-02 17:43:00,722,Delivered
42,7,2024-01-02 17:00:00,2024-01-02 18:27:00,877,Delivered
43,174,2024-01-02 18:00:00,2024-01-02 20:36:00,702,Delivered
44,141,2024-01-02 19:00:00,,276,Delivered
45,168,2024-01-02 20:00:00,2024-01-02 22:25:00,548,Delivered
46,170,2024-01-02 21:00:00,2024-01-02 21:39:00,842,Delivered
47,283,2024-01-02 22:00:00,2024-01-02 22:40:00,640,Delivered
48,122,2024-01-02 23:00:00,2024-01-03 01:44:00,400,Delivered
49,194,2024-01-03 00:00:00,2024-01-03 02:35:00,806,Delivered
50,5,2024-01-03 01:00:00,2024-01-03 02:45:00,406,Delivered
51,29,2024-01-03 02:00:00,2024-01-03 03:23:00,850,Delivered
52,165,2024-01-03 03:00:00,2024-01-03 03:45:00,968,Delivered
53,136,2024-01-03 04:00:00,2024-01-03 04:47:00,995,Delivered
54,145,2024-01-03 05:00:00,2024-01-03 06:59:00,366,Delivered
55,217,2024-01-03 06:00:00,2024-01-03 08:17:00,313,Delivered
56,132,2024-01-03 07:00:00,2024-01-03 08:17:00,693,Delivered
57,292,2024-01-03 08:00:00,2024-01-03 09:46:00,739,Delivered
58,70,2024-01-03 09:00:00,2024-01-03 11:39:00,582,Delivered
59,252,2024-01-03 10:00:00,2024-01-03 10:56:00,361,Delivered
60,275,2024-01-03 11:00:00,2024-01-03 12:41:00,166,Delivered
61,182,2024-01-03 12:00:00,2024-01-03 14:20:00,673,Delivered
62,167,2024-01-03 13:00:00,2024-01-03 14:32:00,232,Delivered
63,91,2024-01-03 14:00:00,2024-01-03 14:41:00,748,Delivered
64,202,2024-01-03 15:00:00,2024-01-03 16:12:00,639,Delivered
65,19,2024-01-03 16:00:00,2024-01-03 18:29:00,611,Delivered
66,39,2024-01-03 17:00:00,2024-01-03 17:37:00,310,Delivered
67,126,2024-01-03 18:00:00,2024-01-03 19:05:00,816,Delivered
68,173,2024-01-03 19:00:00,2024-01-03 21:02:00,352,Delivered
69,141,2024-01-03 20:00:00,2024-01-03 22:10:00,137,Delivered
70,242,2024-01-03 21:00:00,2024-01-03 23:53:00,142,Cancelled
71,220,2024-01-03 22:00:00,2024-01-03 23:40:00,728,Delivered
72,126,2024-01-03 23:00:00,2024-01-04 01:33:00,504,Delivered
73,58,2024-01-04 00:00:00,2024-01-04 00:58:00,801,Delivered
74,148,2024-01-04 01:00:00,2024-01-04 01:48:00,145,Delivered
75,1,2024-01-04 02:00:00,2024-01-04 02:50:00,553,Delivered
76,190,2024-01-04 03:00:00,2024-01-04 03:56:00,777,Delivered
77,191,2024-01-04 04:00:00,2024-01-04 04:58:00,404,Delivered
78,117,2024-01-04 05:00:00,2024-01-04 06:39:00,814,Delivered
79,134,2024-01-04 06:00:00,2024-01-04 08:39:00,332,Delivered
80,58,2024-01-04 07:00:00,2024-01-04 07:45:00,344,Delivered
81,44,2024-01-04 08:00:00,2024-01-04 10:09:00,820,Delivered
82,173,2024-01-04 09:00:00,2024-01-04 09:48:00,859,Cancelled
83,160,2024-01-04 10:00:00,2024-01-04 12:50:00,394,Delivered
84,173,2024-01-04 11:00:00,2024-01-04 13:27:00,938,Delivered
85,149,2024-01-04 12:00:00,2024-01-04 12:51:00,482,Delivered
86,80,2024-01-04 13:00:00,2024-01-04 15:20:00,257,Delivered
87,213,2024-01-04 14:00:00,2024-01-04 16:56:00,504,Delivered
88,203,2024-01-04 15:00:00,2024-01-04 17:25:00,100,Cancelled
89,252,2024-01-04 16:00:00,2024-01-04 18:57:00,316,Delivered
90,229,2024-01-04 17:00:00,2024-01-04 19:41:00,606,Delivered
91,164,2024-01-04 18:00:00,2024-01-04 18:34:00,860,Delivered
92,227,2024-01-04 19:00:00,2024-01-04 21:35:00,680,Delivered
93,147,2024-01-04 20:00:00,2024-01-04 20:51:00,129,Delivered
94,20,2024-01-04 21:00:00,2024-01-04 22:13:00,726,Delivered
95,47,2024-01-04 22:00:00,2024-01-04 23:11:00,619,Delivered
96,233,2024-01-04 23:00:00,2024-01-05 01:04:00,980,Cancelled
97,14,2024-01-05 00:00:00,2024-01-05 02:56:00,374,Delivered
98,143,2024-01-05 01:00:00,2024-01-05 03:37:00,591,Delivered
99,1,2024-01-05 02:00:00,2024-01-05 03:54:00,926,Delivered
100,54,2024-01-05 03:00:00,2024-01-05 04:52:00,946,Delivered
101,259,2024-01-05 04:00:00,2024-01-05 05:01:00,135,Delivered
102,144,2024-01-05 05:00:00,2024-01-05 07:25:00,410,Delivered
103,12,2024-01-05 06:00:00,2024-01-05 07:29:00,143,Delivered
104,224,2024-01-05 07:00:00,2024-01-05 09:05:00,254,Delivered
105,272,2024-01-05 08:00:00,2024-01-05 09:15:00,176,Delivered
106,156,2024-01-05 09:00:00,2024-01-05 11:16:00,689,Delivered
107,8,2024-01-05 10:00:00,2024-01-05 12:48:00,712,Delivered
108,122,2024-01-05 11:00:00,2024-01-05 11:33:00,537,Delivered
109,164,2024-01-05 12:00:00,2024-01-05 14:20:00,531,Delivered
110,90,2024-01-05 13:00:00,2024-01-05 15:04:00,641,Delivered
111,136,2024-01-05 14:00:00,2024-01-05 16:01:00,138,Delivered
112,186,2024-01-05 15:00:00,2024-01-05 16:16:00,338,Delivered
113,178,2024-01-05 16:00:00,2024-01-05 18:15:00,112,Delivered
